Year,Month,Anomaly
1850,1,-0.801
1850,2,-0.102
1850,3,-0.119
1850,4,-0.485
1850,5,-0.351
1850,6,-0.528
1850,7,0.036
1850,8,-0.276
1850,9,-0.328
1850,10,-0.325
1850,11,-0.219
1850,12,-0.417
1851,1,-0.122
1851,2,-0.265
1851,3,-0.329
1851,4,-0.431
1851,5,-0.11
1851,6,-0.216
1851,7,-0.13
1851,8,-0.247
1851,9,-0.435
1851,10,0.131
1851,11,-0.327
1851,12,-0.101
1852,1,-0.29
1852,2,-0.606
1852,3,-0.599
1852,4,-0.659
1852,5,-0.199
1852,6,0.039
1852,7,0.059
1852,8,-0.016
1852,9,-0.251
1852,10,-0.17
1852,11,-0.287
1852,12,-0.063
1853,1,-0.366
1853,2,-0.208
1853,3,0.029
1853,4,0.002
1853,5,-0.096
1853,6,-0.027
1853,7,-0.041
1853,8,-0.26
1853,9,-0.287
1853,10,-0.29
1853,11,-0.647
1853,12,-0.193
1854,1,-0.22
1854,2,-0.248
1854,3,-0.214
1854,4,0.065
1854,5,0.106
1854,6,-0.396
1854,7,0.034
1854,8,-0.004
1854,9,-0.196
1854,10,0.056
1854,11,-0.091
1854,12,-0.015
1855,1,-0.377
1855,2,-0.088
1855,3,0.199
1855,4,-0.175
1855,5,-0.098
1855,6,-0.075
1855,7,0.12
1855,8,-0.255
1855,9,-0.378
1855,10,0.676
1855,11,0.307
1855,12,-0.25
1856,1,0.025
1856,2,-0.103
1856,3,0.322
1856,4,0.321
1856,5,0.02
1856,6,0.467
1856,7,-0.177
1856,8,-0.453
1856,9,-0.533
1856,10,-0.372
1856,11,-0.237
1856,12,-0.189
1857,1,-0.494
1857,2,-0.438
1857,3,-0.346
1857,4,-0.531
1857,5,-0.485
1857,6,-0.329
1857,7,-0.368
1857,8,-0.579
1857,9,-0.608
1857,10,-0.301
1857,11,-0.144
1857,12,0.24
1858,1,-0.147
1858,2,-0.157
1858,3,-0.312
1858,4,-0.332
1858,5,-0.162
1858,6,-0.427
1858,7,-0.242
1858,8,-0.417
1858,9,-0.666
1858,10,-0.192
1858,11,-0.114
1858,12,-0.196
1859,1,-0.295
1859,2,-0.328
1859,3,-0.533
1859,4,-0.098
1859,5,0.074
1859,6,-0.026
1859,7,-0.19
1859,8,-0.231
1859,9,-0.404
1859,10,-0.377
1859,11,-0.179
1859,12,-0.146
1860,1,-0.407
1860,2,-0.311
1860,3,-0.782
1860,4,0.262
1860,5,-0.08
1860,6,-0.133
1860,7,-0.22
1860,8,-0.384
1860,9,-0.339
1860,10,-0.068
1860,11,-0.463
1860,12,-0.367
1861,1,-0.97
1861,2,-0.885
1861,3,-0.528
1861,4,-0.446
1861,5,-0.183
1861,6,-0.328
1861,7,-0.312
1861,8,-0.137
1861,9,-0.471
1861,10,-0.14
1861,11,0.059
1861,12,-0.468
1862,1,-0.801
1862,2,-0.803
1862,3,-0.358
1862,4,-0.552
1862,5,-0.161
1862,6,-0.329
1862,7,-0.457
1862,8,-0.299
1862,9,-0.405
1862,10,-0.518
1862,11,-0.806
1862,12,-0.59
1863,1,-0.094
1863,2,-0.332
1863,3,-0.394
1863,4,-0.223
1863,5,-0.214
1863,6,-0.374
1863,7,-0.51
1863,8,-0.387
1863,9,-0.909
1863,10,-0.331
1863,11,-0.102
1863,12,-0.553
1864,1,-0.301
1864,2,-0.313
1864,3,-0.547
1864,4,-0.017
1864,5,-0.49
1864,6,-0.123
1864,7,-0.06
1864,8,-0.288
1864,9,-0.454
1864,10,-0.213
1864,11,-0.246
1864,12,-0.581
1865,1,0.197
1865,2,-0.098
1865,3,0.017
1865,4,-0.387
1865,5,-0.331
1865,6,-0.206
1865,7,-0.037
1865,8,0.059
1865,9,-0.127
1865,10,-0.425
1865,11,-0.073
1865,12,-0.31
1866,1,0.163
1866,2,-0.094
1866,3,-0.182
1866,4,-0.297
1866,5,-0.465
1866,6,-0.37
1866,7,-0.021
1866,8,-0.206
1866,9,-0.003
1866,10,-0.368
1866,11,0.137
1866,12,-0.016
1867,1,0.229
1867,2,-0.713
1867,3,-0.051
1867,4,-0.225
1867,5,-0.43
1867,6,-0.049
1867,7,-0.222
1867,8,-0.081
1867,9,-0.093
1867,10,-0.086
1867,11,0.118
1867,12,0.024
1868,1,-0.009
1868,2,-0.408
1868,3,-0.397
1868,4,0.034
1868,5,0.18
1868,6,0.319
1868,7,0.111
1868,8,0.083
1868,9,-0.201
1868,10,0.133
1868,11,-0.291
1868,12,0.286
1869,1,0.171
1869,2,0.244
1869,3,0.197
1869,4,-0.342
1869,5,-0.042
1869,6,-0.035
1869,7,-0.087
1869,8,-0.199
1869,9,-0.289
1869,10,-0.159
1869,11,0.12
1869,12,-0.205
1870,1,-0.441
1870,2,-0.133
1870,3,0.197
1870,4,-0.005
1870,5,-0.353
1870,6,-0.031
1870,7,0.057
1870,8,-0.165
1870,9,-0.188
1870,10,-0.157
1870,11,-0.369
1870,12,-0.456
1871,1,-0.26
1871,2,-0.083
1871,3,0.064
1871,4,-0.105
1871,5,-0.21
1871,6,-0.012
1871,7,-0.134
1871,8,-0.065
1871,9,-0.383
1871,10,-0.395
1871,11,-0.418
1871,12,-0.237
1872,1,-0.301
1872,2,-0.389
1872,3,-0.364
1872,4,-0.227
1872,5,0.204
1872,6,-0.105
1872,7,0.015
1872,8,0.101
1872,9,-0.164
1872,10,-0.359
1872,11,-0.665
1872,12,-0.273
1873,1,-0.259
1873,2,0.092
1873,3,-0.084
1873,4,-0.386
1873,5,-0.203
1873,6,-0.32
1873,7,-0.225
1873,8,-0.117
1873,9,-0.398
1873,10,-0.206
1873,11,-0.36
1873,12,-0.196
1874,1,-0.345
1874,2,-0.422
1874,3,-0.568
1874,4,-0.435
1874,5,-0.435
1874,6,-0.507
1874,7,-0.457
1874,8,-0.125
1874,9,-0.174
1874,10,-0.011
1874,11,-0.112
1874,12,-0.055
1875,1,-0.296
1875,2,-0.238
1875,3,-0.363
1875,4,-0.303
1875,5,-0.356
1875,6,-0.285
1875,7,-0.185
1875,8,-0.197
1875,9,-0.25
1875,10,-0.037
1875,11,-0.544
1875,12,-0.365
1876,1,-0.112
1876,2,-0.401
1876,3,-0.16
1876,4,-0.358
1876,5,-0.823
1876,6,-0.234
1876,7,-0.247
1876,8,-0.361
1876,9,-0.323
1876,10,-0.138
1876,11,-0.22
1876,12,-0.583
1877,1,-0.275
1877,2,0.042
1877,3,0.174
1877,4,0.172
1877,5,0.417
1877,6,-0.081
1877,7,0.218
1877,8,0.11
1877,9,0.208
1877,10,0.118
1877,11,0.183
1877,12,0.095
1878,1,0.033
1878,2,0.611
1878,3,1.037
1878,4,0.616
1878,5,0.218
1878,6,0.07
1878,7,0.201
1878,8,0.199
1878,9,0.03
1878,10,0.142
1878,11,0.239
1878,12,0.117
1879,1,0.176
1879,2,-0.159
1879,3,0.167
1879,4,-0.142
1879,5,-0.182
1879,6,-0.224
1879,7,-0.086
1879,8,-0.358
1879,9,-0.264
1879,10,0.019
1879,11,-0.186
1879,12,-0.843
1880,1,-0.434
1880,2,-0.751
1880,3,-0.449
1880,4,-0.445
1880,5,-0.079
1880,6,-0.33
1880,7,-0.291
1880,8,-0.28
1880,9,-0.382
1880,10,-0.186
1880,11,-0.197
1880,12,-0.147
1881,1,-0.365
1881,2,0
1881,3,-0.034
1881,4,0.168
1881,5,-0.053
1881,6,-0.231
1881,7,0.029
1881,8,-0.057
1881,9,-0.244
1881,10,-0.172
1881,11,-0.542
1881,12,-0.15
1882,1,0.233
1882,2,-0.135
1882,3,-0.471
1882,4,-0.192
1882,5,0.034
1882,6,-0.288
1882,7,-0.301
1882,8,-0.304
1882,9,-0.083
1882,10,-0.182
1882,11,-0.417
1882,12,-0.46
1883,1,-0.44
1883,2,-0.378
1883,3,0.085
1883,4,-0.088
1883,5,-0.19
1883,6,-0.143
1883,7,-0.223
1883,8,-0.353
1883,9,-0.304
1883,10,-0.361
1883,11,-0.57
1883,12,-0.425
1884,1,-0.246
1884,2,-0.082
1884,3,-0.694
1884,4,-0.588
