Year,Month,GMSL
1880,1,-183
1880,2,-171.1
1880,3,-164.3
1880,4,-158.2
1880,5,-158.7
1880,6,-159.6
1880,7,-159.6
1880,8,-161.8
1880,9,-158.9
1880,10,-150.3
1880,11,-144.5
1880,12,-134.7
1881,1,-136.4
1881,2,-139.2
1881,3,-145.2
1881,4,-151.1
1881,5,-152.2
1881,6,-154.2
1881,7,-147.7
1881,8,-151.4
1881,9,-156
1881,10,-165.5
1881,11,-167.9
1881,12,-169.9
1882,1,-167.8
1882,2,-162
1882,3,-158.8
1882,4,-160.6
1882,5,-164.5
1882,6,-165.2
1882,7,-167.3
1882,8,-169
1882,9,-174.9
1882,10,-181.5
1882,11,-182.5
1882,12,-184.5
1883,1,-179.9
1883,2,-180
1883,3,-172.4
1883,4,-172.3
1883,5,-164
1883,6,-163.6
1883,7,-161.1
1883,8,-162
1883,9,-159.3
1883,10,-158.2
1883,11,-153.2
1883,12,-149.1
1884,1,-142.5
1884,2,-139.5
1884,3,-137
1884,4,-135.2
1884,5,-136
1884,6,-140
1884,7,-143.3
1884,8,-146.8
1884,9,-150.4
1884,10,-150.4
1884,11,-154
1884,12,-149.9
1885,1,-153.1
1885,2,-148.3
1885,3,-145.3
1885,4,-142.7
1885,5,-143.1
1885,6,-142.7
1885,7,-148.4
1885,8,-143.2
1885,9,-146.5
1885,10,-141.2
1885,11,-143.3
1885,12,-145.1
1886,1,-147.3
1886,2,-152.2
1886,3,-146.8
1886,4,-142
1886,5,-134.7
1886,6,-135.4
1886,7,-140.8
1886,8,-147.7
1886,9,-155.1
1886,10,-155.2
1886,11,-157.9
1886,12,-155.8
1887,1,-162.2
1887,2,-165.8
1887,3,-162.9
1887,4,-158.8
1887,5,-151.9
1887,6,-147.1
1887,7,-147.3
1887,8,-147.5
1887,9,-150.6
1887,10,-147.5
1887,11,-148.8
1887,12,-148
1888,1,-155.3
1888,2,-155.6
1888,3,-155
1888,4,-155.2
1888,5,-154.2
1888,6,-151.6
1888,7,-149
1888,8,-148.5
1888,9,-151.5
1888,10,-145
1888,11,-146
1888,12,-146
1889,1,-151.1
1889,2,-147.4
1889,3,-144.3
1889,4,-145
1889,5,-145.9
1889,6,-145.8
1889,7,-147
1889,8,-147.6
1889,9,-151.3
1889,10,-153.8
1889,11,-157.6
1889,12,-157.2
1890,1,-152.3
1890,2,-151.4
1890,3,-140
1890,4,-138.1
1890,5,-135.3
1890,6,-140.2
1890,7,-144.2
1890,8,-147.8
1890,9,-149.4
1890,10,-151.8
1890,11,-155.9
1890,12,-163.9
1891,1,-162.9
1891,2,-163.9
1891,3,-148.1
1891,4,-150.8
1891,5,-145.4
1891,6,-148.4
1891,7,-143.8
1891,8,-142.2
1891,9,-143.2
1891,10,-144.5
1891,11,-148.2
1891,12,-148.8
1892,1,-145.8
1892,2,-139.3
1892,3,-139.8
1892,4,-138.6
1892,5,-143.1
1892,6,-141.6
1892,7,-145.8
1892,8,-146.6
1892,9,-151.7
1892,10,-151.5
1892,11,-156.3
1892,12,-152.4
1893,1,-147.5
1893,2,-143.8
1893,3,-136.7
1893,4,-137.9
1893,5,-139.2
1893,6,-140.5
1893,7,-140.7
1893,8,-139
1893,9,-139
1893,10,-140.6
1893,11,-145.1
1893,12,-145.6
1894,1,-148.4
1894,2,-147.5
1894,3,-149.9
